2017/7/1,26℃,22℃,大雨,东南风 1级
2017/7/2,31℃,24℃,阵雨,南风 2级
2017/7/3,33℃,24℃,阵雨,南风 2级
2017/7/4,33℃,25℃,阵雨,南风 2级
2017/7/5,33℃,27℃,阵雨,南风 1级
2017/7/6,34℃,27℃,多云,南风 2级
2017/7/7,32℃,27℃,阵雨,南风 2级
2017/7/8,32℃,26℃,小雨,南风 2级
2017/7/9,29℃,24℃,大雨,南风 2级
2017/7/10,32℃,24℃,多云,西南风 1级
2017/7/11,33℃,26℃,多云,东南风 1级
2017/7/12,34℃,27℃,多云,西南风 2级
2017/7/13,35℃,28℃,多云,南风 2级
2017/7/14,35℃,28℃,多云,北风 1级
2017/7/15,35℃,28℃,多云,北风 微风
2017/7/16,36℃,27℃,多云,南风 1级
2017/7/17,36℃,28℃,晴,北风 微风
2017/7/18,35℃,28℃,多云,南风 2级
2017/7/19,35℃,28℃,多云,南风 2级
2017/7/20,35℃,28℃,阴,西南风 2级
2017/7/21,36℃,28℃,晴,北风 1级
2017/7/22,37℃,28℃,晴,西南风 2级
2017/7/23,38℃,28℃,晴,北风 微风
2017/7/24,39℃,28℃,晴,北风 微风
2017/7/25,39℃,29℃,晴,西北风 1级
2017/7/26,39℃,29℃,晴,西风 1级
2017/7/27,40℃,29℃,晴,北风 微风
2017/7/28,38℃,28℃,多云,北风 3级
2017/7/29,36℃,27℃,多云,北风 2级
2017/7/30,35℃,27℃,多云,东北风 2级
2017/7/31,31℃,26℃,阵雨,北风 3级
2017/8/1,31℃,21℃,多云,东南风 4级
2017/8/2,32℃,23℃,多云,东南风 1级
2017/8/3,33℃,24℃,阵雨,东北风 5级
2017/8/4,29℃,20℃,小雨,东风 4级
2017/8/5,24℃,16℃,大雨,北风 3级
2017/8/6,26℃,18℃,多云,西南风 2级
2017/8/7,29℃,20℃,晴,北风 1级
2017/8/8,31℃,23℃,多云,南风 2级
2017/8/9,28℃,23℃,大雨,东南风 3级
2017/8/10,28℃,22℃,中雨,北风 3级
2017/8/11,28℃,22℃,阴,西南风 2级
2017/8/12,26℃,22℃,小雨,西北风 1级
2017/8/13,25℃,21℃,小雨,北风 2级
2017/8/14,27℃,21℃,多云,北风 2级
2017/8/15,25℃,18℃,小雨,西风 2级
2017/8/16,29℃,19℃,多云,西风 3级
2017/8/17,31℃,21℃,多云,北风 微风
2017/8/18,30℃,22℃,多云,南风 2级
2017/8/19,31℃,22℃,阴,西南风 2级
2017/8/20,15℃,13℃,中雨,西南风 1级
2017/8/21,31℃,23℃,阵雨,东北风 2级
2017/8/22,32℃,24℃,阴,西南风 2级
2017/8/23,28℃,23℃,大雨,东南风 2级
2017/8/24,31℃,23℃,阴,西风 1级
2017/8/25,30℃,23℃,阵雨,东北风 1级
2017/8/26,31℃,21℃,小雨,西南风 3级
2017/8/27,31℃,23℃,多云,西南风 3级
2017/8/28,30℃,23℃,阵雨,西风 2级
2017/8/29,31℃,24℃,多云,西风 1级
2017/8/30,27℃,22℃,大雨,南风 1级
2017/8/31,23℃,15℃,中雨,东北风 2级
2017/9/1,26℃,18℃,多云,南风 2级
2017/9/2,23℃,16℃,大雨,北风 5级
2017/9/3,25℃,14℃,多云,东风 2级
2017/9/4,27℃,15℃,多云,东北风 5级
2017/9/5,24℃,15℃,阵雨,北风 3级
2017/9/6,21℃,16℃,小雨,西风 1级
2017/9/7,24℃,15℃,多云,西南风 2级
2017/9/8,29℃,17℃,晴,南风 3级
2017/9/9,31℃,21℃,晴,南风 1级
2017/9/10,27℃,17℃,中雨,东北风 3级
2017/9/11,28℃,16℃,多云,西南风 3级
2017/9/12,31℃,18℃,晴,西南风 1级
2017/9/13,31℃,20℃,晴,东北风 4级
2017/9/14,25℃,16℃,阵雨,北风 2级
2017/9/15,26℃,15℃,多云,西南风 1级
2017/9/16,29℃,18℃,晴,北风 微风
2017/9/17,31℃,21℃,多云,东风 2级
2017/9/18,28℃,20℃,阵雨,南风 2级
2017/9/19,30℃,21℃,多云,北风 微风
2017/9/20,31℃,22℃,多云,东北风 3级
2017/9/21,27℃,20℃,中雨,东南风 1级
2017/9/22,23℃,17℃,阴,北风 4级
2017/9/23,26℃,15℃,多云,东北风 2级
2017/9/24,29℃,16℃,晴,北风 微风
2017/9/25,31℃,18℃,晴,西风 3级
2017/9/26,32℃,19℃,晴,西南风 1级
2017/9/27,33℃,19℃,晴,南风 2级
2017/9/28,34℃,22℃,晴,北风 微风
2017/9/29,33℃,24℃,多云,东南风 1级
2017/9/30,32℃,24℃,多云,西南风 3级
2017/10/1,21℃,8℃,晴,南风 2级
2017/10/2,24℃,12℃,晴,东南风 1级
2017/10/3,22℃,14℃,阴,东南风 2级
2017/10/4,20℃,15℃,小雨,北风 2级
2017/10/5,20℃,14℃,小雨,东北风 3级
2017/10/6,19℃,14℃,小雨,东风 2级
2017/10/7,23℃,17℃,多云,东北风 2级
2017/10/8,26℃,15℃,暴雨,北风 5级
2017/10/9,15℃,10℃,中雨,东北风 5级
2017/10/10,15℃,10℃,中雨,西北风 3级
2017/10/11,17℃,8℃,多云,西风 1级
2017/10/12,21℃,9℃,多云,西风 1级
2017/10/13,23℃,12℃,晴,南风 3级
2017/10/14,28℃,16℃,晴,东南风 1级
2017/10/15,29℃,19℃,阵雨,东南风 3级
2017/10/16,25℃,14℃,小雨,北风 2级
2017/10/17,26℃,15℃,多云,南风 4级
2017/10/18,28℃,18℃,多云,东南风 2级
2017/10/19,25℃,16℃,小雨,东风 4级
2017/10/20,23℃,14℃,小雨,西风 2级
2017/10/21,19℃,9℃,阴,东风 2级
2017/10/22,25℃,10℃,晴,南风 3级
2017/10/23,25℃,14℃,晴,北风 微风
2017/10/24,28℃,17℃,多云,东南风 1级
2017/10/25,19℃,14℃,大雨,东北风 6级
2017/10/26,19℃,14℃,小雨,北风 4级
2017/10/27,23℃,11℃,多云,西风 2级
2017/10/28,25℃,12℃,晴,西南风 3级
2017/10/29,27℃,15℃,晴,北风 微风
2017/10/30,29℃,16℃,晴,西南风 1级
2017/10/31,17℃,0℃,晴,北风 4级
2017/11/1,14℃,2℃,晴,东南风 2级
2017/11/2,17℃,7℃,多云,西南风 2级
2017/11/3,16℃,5℃,晴,北风 微风
2017/11/4,17℃,2℃,阴,东北风 2级
2017/11/5,19℃,4℃,晴,东南风 1级
2017/11/6,19℃,6℃,多云,北风 微风
2017/11/7,15℃,11℃,小雨,西风 2级
2017/11/8,19℃,10℃,阴,西南风 1级
2017/11/9,15℃,7℃,中雨,东北风 2级
2017/11/10,10℃,4℃,小雨,东北风 4级
2017/11/11,13℃,5℃,多云,北风 2级
2017/11/12,12℃,4℃,小雨,北风 1级
2017/11/13,15℃,7℃,多云,北风 微风
2017/11/14,13℃,7℃,小雨,西北风 1级
2017/11/15,15℃,8℃,小雨,东南风 2级
2017/11/16,13℃,9℃,小雨,东风 1级
2017/11/17,15℃,6℃,阴,东北风 3级
2017/11/18,15℃,7℃,小雨,西北风 1级
2017/11/19,12℃,8℃,小雨,西南风 1级
2017/11/20,14℃,9℃,小雨,北风 4级
2017/11/21,10℃,6℃,小雨,西风 1级
2017/11/22,17℃,6℃,多云,西南风 3级
2017/11/23,19℃,7℃,晴,西南风 3级
2017/11/24,22℃,10℃,晴,南风 3级
2017/11/25,24℃,12℃,多云,东北风 3级
2017/11/26,21℃,12℃,阴,东南风 3级
2017/11/27,16℃,10℃,中雨,北风 5级
2017/11/28,18℃,7℃,多云,北风 2级
2017/11/29,6℃,1℃,小雨,北风 2级
2017/11/30,4℃,2℃,小雨,北风 2级
2017/12/1,6℃,2℃,小雨,北风 微风
2017/12/2,10℃,1℃,多云,南风 2级
2017/12/3,12℃,3℃,多云,南风 1级
2017/12/4,12℃,5℃,多云,西北风 1级
2017/12/5,7℃,0℃,小雨,东北风 3级
2017/12/6,6℃,-1℃,雨夹雪,北风 3级
2017/12/7,8℃,-1℃,多云,北风 微风
2017/12/8,10℃,-2℃,晴,南风 1级
2017/12/9,11℃,-1℃,晴,北风 微风
2017/12/10,14℃,0℃,晴,东南风 1级
2017/12/11,16℃,0℃,晴,北风 微风
2017/12/12,18℃,4℃,多云,北风 微风
2017/12/13,18℃,5℃,多云,南风 1级
2017/12/14,22℃,10℃,晴,西南风 1级
2017/12/15,16℃,6℃,多云,东北风 3级
2017/12/16,16℃,5℃,多云,东南风 1级
2017/12/17,20℃,10℃,多云,北风 微风
2017/12/18,16℃,6℃,多云,东北风 3级
2017/12/19,7℃,0℃,中雨,北风 4级
2017/12/20,6℃,0℃,小雨,东南风 1级
2017/12/21,11℃,3℃,多云,北风 1级
2017/12/22,12℃,2℃,多云,北风 微风
2017/12/23,15℃,3℃,多云,西风 1级
2017/12/24,17℃,2℃,晴,北风 微风
2017/12/25,18℃,4℃,多云,南风 1级
2017/12/26,19℃,6℃,阴,西南风 2级
2017/12/27,13℃,4℃,多云,北风 微风
2017/12/28,15℃,4℃,晴,北风 微风
2017/12/29,15℃,4℃,多云,西北风 1级
2017/12/30,12℃,9℃,小雨,东北风 2级
2017/12/31,10℃,7℃,中雨,北风 3级
2018/1/1,8℃,5℃,小雨,东北风 2级
2018/1/2,8℃,2℃,小雨,北风 1级
2018/1/3,11℃,1℃,晴,东北风 1级
2018/1/4,11℃,3℃,多云,东南风 1级
2018/1/5,8℃,4℃,小雨,北风 2级
2018/1/6,6℃,2℃,小雨,西北风 1级
2018/1/7,9℃,-1℃,多云,南风 2级
2018/1/8,10℃,0℃,晴,西风 1级
2018/1/9,10℃,1℃,晴,东北风 2级
2018/1/10,9℃,-2℃,晴,西南风 1级
2018/1/11,9℃,-1℃,多云,北风 2级
2018/1/12,9℃,4℃,多云,南风 1级
2018/1/13,8℃,4℃,阴,东北风 1级
2018/1/14,10℃,-2℃,多云,东北风 3级
2018/1/15,7℃,-2℃,晴,北风 1级
2018/1/16,10℃,-3℃,晴,北风 微风
2018/1/17,11℃,-2℃,晴,东风 1级
2018/1/18,13℃,0℃,晴,东风 1级
2018/1/19,11℃,0℃,阴,东北风 2级
2018/1/20,13℃,0℃,多云,南风 2级
2018/1/21,16℃,2℃,晴,北风 1级
2018/1/22,14℃,6℃,多云,东风 1级
2018/1/23,15℃,7℃,多云,北风 2级
2018/1/24,9℃,0℃,小雨,北风 2级
2018/1/25,7℃,2℃,多云,东北风 3级
2018/1/26,5℃,0℃,小雨,北风 2级
